date,close
2026-07-23,223.46
2026-07-23,135.03
2026-07-23,98.93
2026-07-23,85.37
2026-07-23,76.23
2026-07-23,65.02
2026-07-23,39.48
2026-07-23,223.46
2026-07-23,135.03
2026-07-23,98.93
2026-07-23,85.37
2026-07-23,76.23
2026-07-23,65.02
2026-07-23,39.48
2026-07-23,223.46
2026-07-23,135.03
2026-07-23,98.93
2026-07-23,85.37
2026-07-23,76.23
2026-07-23,65.02
2026-07-23,39.48
2026-07-23,223.46
2026-07-23,135.03
2026-07-23,98.93
2026-07-23,85.37
2026-07-23,76.23
2026-07-23,65.02
2026-07-23,39.48
2026-07-23,223.46
2026-07-23,135.03
2026-07-23,98.93
2026-07-23,85.37
2026-07-23,76.23
2026-07-23,65.02
2026-07-23,39.48
