date,close
2026-06-02,13.0
2026-06-02,2.0
2026-06-02,11.0
2026-06-02,48.0
2026-06-02,4.0
2026-06-02,44.0
2026-06-02,256.0
2026-06-02,114.0
2026-06-02,142.0
2026-06-02,13.0
2026-06-02,2.0
2026-06-02,11.0
2026-06-02,48.0
2026-06-02,4.0
2026-06-02,44.0
2026-06-02,256.0
2026-06-02,114.0
2026-06-02,142.0
2026-06-02,13.0
2026-06-02,2.0
2026-06-02,11.0
2026-06-02,48.0
2026-06-02,4.0
2026-06-02,44.0
2026-06-02,256.0
2026-06-02,114.0
2026-06-02,142.0
2026-06-02,13.0
2026-06-02,2.0
2026-06-02,11.0
2026-06-02,48.0
2026-06-02,4.0
2026-06-02,44.0
2026-06-02,256.0
2026-06-02,114.0
2026-06-02,142.0
2026-06-02,13.0
2026-06-02,2.0
2026-06-02,11.0
2026-06-02,48.0
2026-06-02,4.0
2026-06-02,44.0
2026-06-02,256.0
2026-06-02,114.0
2026-06-02,142.0
